================================================================================
Cleanup-Log
================================================================================
Skript                    : cleanup.ps1
Autor                     : Stefan Homberg
Startzeit                 : 2026-06-14 08:31:21
Benutzer                  : ZEROBIT-BLADE\zerob
Computer                  : ZEROBIT-BLADE
PowerShell-Version        : 5.1.26100.8655
PowerShell-Edition        : Desktop
Interaktiver Lauf         : Ja
Automatisierung           : Nicht vorgesehen / wird bewusst blockiert
DryRun                    : True
WhatIfPreference          : False
MinimumAgeInYears         : 5
FileCutoffDate Eingabe    : 
Datei-Schwellen-Datum     : 06/14/2021 00:00:00
Datei-Schwellen-Quelle    : Standard: Heute minus 5 Jahre
Leere Verzeichnisse       : Unabhaengig vom Alter
LogPath                   : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614\to_delete_20260614_083108.log
Kandidatendatei-Ordner    : C:\Users\zerob\Documents\ibb\powershell\cleanup\20260614
ACHTUNG                   : Bei echtem Lauf werden protokollierte Eintraege endgueltig geloescht.
================================================================================

[2026-06-14 08:31:21.326] INFO	Aufgeloeste Eingabepfade:
[2026-06-14 08:31:22.433] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\entities\Image.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.434] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\entities\Question.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.435] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\entities\Summary.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.436] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\entities\Unique.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.437] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\3-BufferUnderflow\entities\User.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.438] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\package.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.440] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\tsconfig.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.440] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\test\array.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.441] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\test\object.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.442] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\test\string.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.443] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\lib\array.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.444] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\lib\object.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.445] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-underdash\lib\string.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.447] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\app.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.448] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\package-lock.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.449] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\package.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.450] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\tsconfig.json	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.452] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\utils\genUniqueId.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.452] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\utils\getBudgetSummary.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.453] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\utils\truncate.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.454] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\types\Month.ts	LastWriteTime=2020-10-27 15:46:52
[2026-06-14 08:31:22.455] FOUND_FILE	Pfad=C:\Users\zerob\Documents\lerning\santos_c_the_beginners_guide_to_typescript\beginners-guide-to-typescript-code\src\1-FinanceMe\enums\Category.ts	LastWriteTime=2020-10-27 15:46:52
